X,Y,Z, Ù–‘ø‚1, Ù–‘ø‚2, Ù–‘ø‚3....
,,,,,
437997.572,4964773.31,584.498,,,
437991.115,4964764.822,583.879,,,
437977.38,4964754.252,584.352,,,
437961.831,4964739.419,584.729,,,
437944.678,4964722.497,586.497,,,
437941.654,4964714.537,586.532,,,
437941.825,4964708.572,586.552,,,
437943.861,4964702.761,586.577,,,
437963.128,4964680.651,585.27,,,
437973.54,4964671.511,584.797,,,
437984.168,4964659.088,584.651,,,
438010.974,4964632.267,583.77,,,
438037.866,4964609.453,583.86,,,
438053.901,4964589.582,582.106,,,
438109.695,4964538.197,581.356,,,
438135.912,4964510.699,581.266,,,
438168.708,4964479.159,580.687,,,
438176.087,4964471.59,580.823,,,
438411.14,4964768.414,587.074,,,
438422.953,4964774.929,586.876,,,
438445.033,4964781.382,586.879,,,
438464.64,4964785.723,586.129,,,
438503.759,4964797.306,586.176,,,
438520.826,4964806.101,585.398,,,
438532.813,4964815.095,584.588,,,
438558.833,4964837.053,584.588,,,
438573.019,4964856.657,583.896,,,
438586.219,4964876.999,584.005,,,
438613.197,4964920.692,584.629,,,
438626.911,4964942.445,584.859,,,
438645.792,4964971.323,585.099,,,
438663.985,4964998.951,585.364,,,
438685.638,4965031.832,585.734,,,
438707.105,4965064.019,586.223,,,
438731.209,4965098.796,586.353,,,
438752.812,4965125.509,586.794,,,
438773.683,4965151.847,586.924,,,
438799.412,4965182.401,587.105,,,
438809.391,4965194.463,587.09,,,
438835.758,4965223.862,587.132,,,
438862.748,4965252.902,587.368,,,
438884.011,4965276.095,587.797,,,
438901.658,4965290.887,587.897,,,
438933.083,4965313.965,588.544,,,
438939.784,4965318.526,584.588,,,
438934.193,4965325.888,584.588,,,
438411.14,4964768.414,587.074,,,
438422.953,4964774.929,586.876,,,
438445.033,4964781.382,586.879,,,
438464.64,4964785.723,586.129,,,
438503.759,4964797.306,586.176,,,
438520.826,4964806.101,585.398,,,
438532.813,4964815.095,584.588,,,
438558.833,4964837.053,584.588,,,
438573.019,4964856.657,583.896,,,
438586.219,4964876.999,584.005,,,
438613.197,4964920.692,584.629,,,
438626.911,4964942.445,584.859,,,
438645.792,4964971.323,585.099,,,
438663.985,4964998.951,585.364,,,
438685.638,4965031.832,585.734,,,
438707.105,4965064.019,586.223,,,
438731.209,4965098.796,586.353,,,
438752.812,4965125.509,586.794,,,
438773.683,4965151.847,586.924,,,
438799.412,4965182.401,587.105,,,
438809.391,4965194.463,587.09,,,
438835.758,4965223.862,587.132,,,
438862.748,4965252.902,587.368,,,
438884.011,4965276.095,587.797,,,
438901.658,4965290.887,587.897,,,
438933.083,4965313.965,588.544,,,
438939.784,4965318.526,584.588,,,
438934.193,4965325.888,584.588,,,
