X,Y,Z, Ù–‘ø‚1, Ù–‘ø‚2, Ù–‘ø‚3....
,,,,,
438007.218,4963755.385,580.08,,,
438012.805,4963754.943,579.993,,,
438017.422,4963755.264,580.021,,,
438019.597,4963755.399,579.922,,,
438025.512,4963755.878,579.945,,,
438031.242,4963755.908,580.175,,,
438031.493,4963764.447,580.099,,,
438031.296,4963770.678,579.833,,,
438031.033,4963782.384,579.625,,,
438031.379,4963789.088,579.649,,,
438020.63,4963788.842,579.907,,,
438011.661,4963788.898,580.116,,,
437999.142,4963789.189,580.41,,,
437992.422,4963789.218,580.309,,,
437991.931,4963790.595,580.492,,,
437991.794,4963795.336,580.864,,,
437991.602,4963803.172,581.339,,,
437991.707,4963810.329,581.464,,,
437991.661,4963824.46,581.598,,,
437991.438,4963833.634,581.548,,,
437991.629,4963839.875,581.537,,,
437991.287,4963849.915,581.654,,,
437986.202,4963849.428,581.743,,,
437984.116,4963849.89,581.583,,,
437983.014,4963851.034,581.727,,,
437980.468,4963852.563,581.738,,,
437978.889,4963853.033,581.254,,,
,,,,,
437305.049,4964865.206,,,,
437295.478,4964863.57,,,,
437274.244,4964862.976,,,,
437273.868,4964881.515,,,,
437274.315,4964896.832,,,,
437295.298,4964897.03,,,,
437305.526,4964894.177,,,,
